"Frequency (Hz)","Absolute Amplitude (a.u.)"
2.343750000E1,2.095516484E1
4.687500000E1,1.040265613E1
7.031250000E1,1.237310794E1
9.375000000E1,2.909013523E1
1.171875000E2,2.737525628E0
1.406250000E2,1.622618099E0
1.640625000E2,1.297002459E0
1.875000000E2,5.694735870E-1
2.109375000E2,4.226873314E0
2.343750000E2,2.269306254E0
2.578125000E2,2.280909384E0
2.812500000E2,4.292104056E0
3.046875000E2,1.105032573E0
3.281250000E2,8.689334101E-1
3.515625000E2,2.329707067E0
3.750000000E2,1.505025584E0
3.984375000E2,1.174689479E0
4.218750000E2,1.298404474E0
4.453125000E2,1.684781980E0
4.687500000E2,1.098014561E0
4.921875000E2,3.007209612E0
5.156250000E2,2.082853875E0
5.390625000E2,1.003851663E0
5.625000000E2,9.736074677E-1
5.859375000E2,1.206704188E-1
6.093750000E2,6.539942182E-1
6.328125000E2,5.432194032E-1
6.562500000E2,7.601621750E-1
6.796875000E2,4.733196279E-1
7.031250000E2,9.401108772E-1
7.265625000E2,3.771390773E-1
7.500000000E2,2.627704774E-1
7.734375000E2,2.845812246E-1
7.968750000E2,3.947971993E-1
8.203125000E2,5.421828373E-1
8.437500000E2,4.631296168E-1
8.671875000E2,1.214583592E-1
8.906250000E2,3.979131562E-1
9.140625000E2,4.140155944E-1
9.375000000E2,5.356926143E-1
9.609375000E2,1.461833991E-1
9.843750000E2,4.223224186E-1
1.007812500E3,2.184225656E-1
1.031250000E3,4.197934307E-1
1.054687500E3,6.084156123E-1
1.078125000E3,2.148206155E-1
1.101562500E3,2.971722036E-1
1.125000000E3,1.665749915E-1
1.148437500E3,3.943812983E-1
1.171875000E3,2.680601629E-1
1.195312500E3,2.290774008E-1
1.218750000E3,1.813482479E-1
1.242187500E3,2.896608276E-1
1.265625000E3,1.230619578E-1
1.289062500E3,1.205033203E-1
1.312500000E3,3.317488739E-1
1.335937500E3,2.545386176E-1
1.359375000E3,2.369800032E-1
1.382812500E3,1.162112139E-1
1.406250000E3,3.385594544E-1
1.429687500E3,1.744571700E-1
1.453125000E3,2.029254612E-1
1.476562500E3,1.869474184E-1
1.500000000E3,1.404995834E-1
1.523437500E3,2.077079208E-1
1.546875000E3,1.659554797E-1
1.570312500E3,2.299532719E-1
1.593750000E3,2.192719023E-1
1.617187500E3,2.408574437E-1
1.640625000E3,2.273929623E-1
1.664062500E3,3.875676589E-1
1.687500000E3,2.605285964E-1
1.710937500E3,3.019479257E-1
1.734375000E3,1.346215263E-1
1.757812500E3,2.650534608E-1
1.781250000E3,3.525908243E-1
1.804687500E3,7.108553575E-2
1.828125000E3,2.628670433E-1
1.851562500E3,2.420505610E-1
1.875000000E3,1.500130016E0
1.898437500E3,5.765171784E-1
1.921875000E3,3.990538175E-1
1.945312500E3,1.876575523E-1
1.968750000E3,8.987841334E-1
1.992187500E3,4.711717971E-1
2.015625000E3,2.485087392E-1
2.039062500E3,2.518807053E-1
2.062500000E3,6.285876143E-1
2.085937500E3,2.903146691E-1
2.109375000E3,3.566919672E-1
2.132812500E3,8.644219304E-1
2.156250000E3,5.286261992E-1
2.179687500E3,3.467456940E-1
2.203125000E3,4.616089109E-1
2.226562500E3,5.417076005E-1
2.250000000E3,2.532666445E-1
2.273437500E3,2.027441257E-1
2.296875000E3,1.587992194E-1
2.320312500E3,2.215060567E-1
2.343750000E3,9.655315168E-2
2.367187500E3,3.782233261E-2
2.390625000E3,2.201164455E-1
2.414062500E3,1.806542235E-1
2.437500000E3,9.582137453E-2
2.460937500E3,1.001733562E-1
2.484375000E3,1.408351228E-1
2.507812500E3,1.337460394E-1
2.531250000E3,2.227636131E-1
2.554687500E3,9.817436414E-2
2.578125000E3,1.893401853E-1
2.601562500E3,1.802500998E-1
2.625000000E3,9.763819538E-2
2.648437500E3,1.848922123E-1
2.671875000E3,8.770684753E-2
2.695312500E3,1.031099909E-1
2.718750000E3,2.062126349E-1
2.742187500E3,1.022085091E-1
2.765625000E3,9.452331925E-2
2.789062500E3,7.433082028E-2
2.812500000E3,8.293012926E-2
2.835937500E3,2.768763480E-2
2.859375000E3,1.235685839E-1
2.882812500E3,1.027964749E-1
2.906250000E3,8.048187700E-2
2.929687500E3,1.358687198E-1
2.953125000E3,1.222749439E-1
2.976562500E3,1.135520994E-1
3.000000000E3,1.048324972E-1
3.023437500E3,1.803862318E-1
3.046875000E3,1.183774014E-1
3.070312500E3,3.630831598E-2
3.093750000E3,1.494399878E-1
3.117187500E3,7.386207387E-2
3.140625000E3,5.673843634E-2
3.164062500E3,1.099612113E-1
3.187500000E3,5.346759094E-2
3.210937500E3,8.600854904E-2
3.234375000E3,8.013131876E-2
3.257812500E3,7.438987040E-2
3.281250000E3,1.087198996E-1
3.304687500E3,1.274296169E-1
3.328125000E3,1.081593919E-1
3.351562500E3,7.271172310E-2
3.375000000E3,9.545874293E-2
3.398437500E3,1.259003889E-1
3.421875000E3,1.182419911E-1
3.445312500E3,1.534521369E-1
3.468750000E3,8.929454271E-2
3.492187500E3,6.355969672E-2
3.515625000E3,8.868676658E-2
3.539062500E3,8.467989701E-2
3.562500000E3,1.317617147E-1
3.585937500E3,7.996537283E-2
3.609375000E3,1.037465829E-1
3.632812500E3,1.133125507E-1
3.656250000E3,1.084598935E-1
3.679687500E3,5.526939238E-2
3.703125000E3,1.171690468E-1
3.726562500E3,7.330172035E-2
3.750000000E3,1.780767118E-1
3.773437500E3,7.896826839E-2
3.796875000E3,9.958313923E-2
3.820312500E3,1.171377534E-1
3.843750000E3,3.148515348E-2
3.867187500E3,9.844381704E-2
3.890625000E3,1.321890967E-1
3.914062500E3,1.635717356E-1
3.937500000E3,9.199326650E-2
3.960937500E3,9.264245363E-2
3.984375000E3,1.285545989E-1
4.007812500E3,5.929987403E-2
4.031250000E3,1.158077892E-1
4.054687500E3,7.931789913E-2
4.078125000E3,1.266128186E-1
4.101562500E3,6.939531252E-2
4.125000000E3,1.186459979E-1
4.148437500E3,1.319859589E-1
4.171875000E3,7.726674848E-2
4.195312500E3,1.074392391E-1
4.218750000E3,9.796175155E-2
4.242187500E3,1.119529338E-1
4.265625000E3,1.221185092E-1
4.289062500E3,1.339376568E-1
4.312500000E3,1.012979886E-1
4.335937500E3,1.272165806E-1
4.359375000E3,8.109313374E-2
4.382812500E3,5.701586678E-2
4.406250000E3,1.209581638E-1
4.429687500E3,6.789940294E-2
4.453125000E3,6.793265567E-2
4.476562500E3,4.548585648E-2
4.500000000E3,5.717773062E-2
4.523437500E3,8.145328175E-2
4.546875000E3,5.671158621E-2
4.570312500E3,4.693254923E-2
4.593750000E3,8.013589018E-2
4.617187500E3,6.823328335E-2
4.640625000E3,1.323654950E-1
4.664062500E3,6.642905159E-2
4.687500000E3,5.151200668E-2
4.710937500E3,3.982270882E-2
4.734375000E3,4.049663649E-2
4.757812500E3,9.679903354E-2
4.781250000E3,9.755611224E-2
4.804687500E3,1.022908088E-1
4.828125000E3,4.622064984E-2
4.851562500E3,9.691080532E-2
4.875000000E3,7.749281166E-2
4.898437500E3,5.558091715E-2
4.921875000E3,6.622208487E-2
4.945312500E3,7.412610519E-2
4.968750000E3,7.901446052E-2
4.992187500E3,7.866110112E-2
5.015625000E3,6.543022822E-2
5.039062500E3,8.016366976E-2
5.062500000E3,8.795063449E-2
5.085937500E3,5.798626832E-2
5.109375000E3,6.055542373E-2
5.132812500E3,7.435773144E-2
5.156250000E3,6.718776280E-2
5.179687500E3,6.305835447E-2
5.203125000E3,4.713069267E-2
5.226562500E3,6.111657369E-2
5.250000000E3,5.354984627E-2
5.273437500E3,5.046668113E-2
5.296875000E3,4.825129068E-2
5.320312500E3,6.492787059E-2
5.343750000E3,1.096120479E-1
5.367187500E3,3.719646855E-2
5.390625000E3,5.683825554E-2
5.414062500E3,5.884879390E-2
5.437500000E3,4.738267077E-2
5.460937500E3,7.075872631E-2
5.484375000E3,5.782906137E-2
5.507812500E3,8.106811838E-2
5.531250000E3,5.253160143E-2
5.554687500E3,6.082459783E-2
5.578125000E3,3.799516115E-2
5.601562500E3,6.015741999E-2
5.625000000E3,6.687633154E-2
5.648437500E3,7.337252542E-2
5.671875000E3,6.594390962E-2
5.695312500E3,6.421488745E-2
5.718750000E3,5.669736095E-2
5.742187500E3,4.867395189E-2
5.765625000E3,8.974357296E-2
5.789062500E3,6.094161351E-2
5.812500000E3,2.453173772E-2
5.835937500E3,4.836942464E-2
5.859375000E3,4.468336998E-2
5.882812500E3,8.133141989E-2
5.906250000E3,7.251385732E-2
5.929687500E3,7.123518929E-2
5.953125000E3,5.610895711E-2
5.976562500E3,4.288650807E-2
6.000000000E3,7.429408589E-2
6.023437500E3,2.940425440E-2
6.046875000E3,5.418453339E-2
6.070312500E3,6.373619345E-2
6.093750000E3,1.859994373E-2
6.117187500E3,8.657055488E-2
6.140625000E3,9.393276304E-2
6.164062500E3,5.503061877E-2
6.187500000E3,4.959130098E-2
6.210937500E3,4.153655198E-2
6.234375000E3,7.396029637E-2
6.257812500E3,5.587243240E-2
6.281250000E3,3.306701198E-2
6.304687500E3,4.892247113E-2
6.328125000E3,5.355608044E-2
6.351562500E3,4.383809895E-2
6.375000000E3,3.844109449E-2
6.398437500E3,5.989538791E-2
6.421875000E3,4.551285984E-2
6.445312500E3,3.161104507E-2
6.468750000E3,5.787190642E-2
6.492187500E3,5.144162336E-2
6.515625000E3,3.829901550E-2
6.539062500E3,4.904421023E-2
6.562500000E3,3.058606517E-2
6.585937500E3,4.727371656E-2
6.609375000E3,3.622822005E-2
6.632812500E3,3.920550105E-2
6.656250000E3,3.930622967E-2
6.679687500E3,5.720212535E-2
6.703125000E3,3.196139763E-2
6.726562500E3,5.140380481E-2
6.750000000E3,4.787224154E-2
6.773437500E3,4.242524975E-2
6.796875000E3,5.520290514E-2
6.820312500E3,5.726402157E-2
6.843750000E3,4.593260004E-2
6.867187500E3,3.627895497E-2
6.890625000E3,8.162251133E-2
6.914062500E3,3.916035302E-2
6.937500000E3,6.479863948E-2
6.960937500E3,1.165522612E-2
6.984375000E3,8.395459202E-2
7.007812500E3,3.463118293E-2
7.031250000E3,1.758615017E-2
7.054687500E3,9.356891327E-2
7.078125000E3,2.016937855E-2
7.101562500E3,4.492469821E-2
7.125000000E3,5.130125680E-2
7.148437500E3,5.399083883E-2
7.171875000E3,5.411485446E-2
7.195312500E3,3.614595056E-2
7.218750000E3,6.093937805E-2
7.242187500E3,2.647676577E-2
7.265625000E3,4.388173288E-2
7.289062500E3,6.207147576E-2
7.312500000E3,1.421298120E-2
7.335937500E3,4.983042289E-2
7.359375000E3,4.501496511E-2
7.382812500E3,2.931953341E-2
7.406250000E3,4.626338585E-2
7.429687500E3,4.389891504E-2
7.453125000E3,7.054270798E-2
7.476562500E3,4.328010763E-2
7.500000000E3,2.136792160E-2
7.523437500E3,2.984250726E-2
7.546875000E3,7.227415963E-2
7.570312500E3,3.826387588E-2
7.593750000E3,3.121136415E-2
7.617187500E3,4.166936889E-2
7.640625000E3,3.171877002E-2
7.664062500E3,5.155452003E-2
7.687500000E3,4.388658703E-2
7.710937500E3,4.359338657E-2
7.734375000E3,4.177086368E-2
7.757812500E3,5.188731625E-2
7.781250000E3,6.670563967E-2
7.804687500E3,4.552294736E-2
7.828125000E3,4.726748320E-2
7.851562500E3,5.178567530E-2
7.875000000E3,6.687243721E-2
7.898437500E3,4.653277402E-2
7.921875000E3,6.220559709E-2
7.945312500E3,5.261760043E-2
7.968750000E3,5.781104829E-2
7.992187500E3,2.994909282E-2
8.015625000E3,3.293157211E-2
8.039062500E3,4.142114317E-2
8.062500000E3,6.196206911E-2
8.085937500E3,4.194495817E-2
8.109375000E3,3.422531083E-2
8.132812500E3,6.743047387E-2
8.156250000E3,3.429570196E-2
8.179687500E3,5.018627502E-2
8.203125000E3,5.895501409E-2
8.226562500E3,5.927948783E-2
8.250000000E3,2.251652099E-2
8.273437500E3,3.628676572E-2
8.296875000E3,6.159556646E-2
8.320312500E3,2.526026388E-2
8.343750000E3,3.297339353E-2
8.367187500E3,7.544692255E-2
8.390625000E3,3.677267554E-2
8.414062500E3,5.487144403E-2
8.437500000E3,4.053496061E-2
8.460937500E3,2.406689245E-2
8.484375000E3,3.181341801E-2
8.507812500E3,3.781241235E-2
8.531250000E3,4.939674745E-2
8.554687500E3,4.689731718E-2
8.578125000E3,4.004068089E-2
8.601562500E3,3.180589359E-2
8.625000000E3,2.390765677E-2
8.648437500E3,5.181983923E-2
8.671875000E3,3.995225053E-2
8.695312500E3,5.565488631E-2
8.718750000E3,5.245931765E-2
8.742187500E3,4.352500159E-2
8.765625000E3,1.598282858E-2
8.789062500E3,4.836007227E-2
8.812500000E3,4.710520272E-2
8.835937500E3,5.191626562E-2
8.859375000E3,2.959966637E-2
8.882812500E3,3.847914821E-2
8.906250000E3,6.288667716E-2
8.929687500E3,3.747326409E-2
8.953125000E3,3.261663880E-2
8.976562500E3,2.504641120E-2
9.000000000E3,4.516450931E-2
9.023437500E3,3.750182784E-2
9.046875000E3,4.421895741E-2
9.070312500E3,3.444557223E-2
9.093750000E3,2.954424246E-2
9.117187500E3,2.845338586E-2
9.140625000E3,4.535415449E-2
9.164062500E3,3.257716058E-2
9.187500000E3,4.759459035E-2
9.210937500E3,3.205971631E-2
9.234375000E3,3.562860811E-2
9.257812500E3,3.708341858E-2
9.281250000E3,1.966470133E-2
9.304687500E3,4.512457629E-2
9.328125000E3,3.831196173E-2
9.351562500E3,2.335368267E-2
9.375000000E3,3.313411147E-2
9.398437500E3,2.751971920E-2
9.421875000E3,4.665184718E-2
9.445312500E3,1.850635631E-2
9.468750000E3,5.319684818E-2
9.492187500E3,5.329020143E-2
9.515625000E3,3.033544063E-2
9.539062500E3,5.053970452E-2
9.562500000E3,2.103526721E-2
9.585937500E3,5.171535013E-2
9.609375000E3,1.693875028E-2
9.632812500E3,5.158072105E-2
9.656250000E3,2.819856591E-2
9.679687500E3,2.188476539E-2
9.703125000E3,4.210985053E-2
9.726562500E3,4.545575901E-2
9.750000000E3,2.856933861E-2
9.773437500E3,3.662117869E-2
9.796875000E3,3.859820879E-2
9.820312500E3,4.328929560E-2
9.843750000E3,2.457829677E-2
9.867187500E3,3.045237727E-2
9.890625000E3,3.996915400E-2
9.914062500E3,4.070786669E-2
9.937500000E3,3.970046781E-2
9.960937500E3,3.500441623E-2
9.984375000E3,4.074984614E-2
1.000781250E4,2.612020067E-2
1.003125000E4,3.074602166E-2
1.005468750E4,4.065159895E-2
1.007812500E4,4.239694534E-2
1.010156250E4,2.624874010E-2
1.012500000E4,3.910905904E-2
1.014843750E4,4.504403553E-2
1.017187500E4,3.542368995E-2
1.019531250E4,2.066839510E-2
1.021875000E4,3.767684487E-2
1.024218750E4,2.384781280E-2
1.026562500E4,4.356375042E-2
1.028906250E4,3.712907772E-2
1.031250000E4,4.520228833E-2
1.033593750E4,3.448871043E-2
1.035937500E4,2.291321374E-2
1.038281250E4,3.410453265E-2
1.040625000E4,3.528295660E-2
1.042968750E4,3.309054219E-2
1.045312500E4,2.966936067E-2
1.047656250E4,3.018502729E-2
1.050000000E4,2.642354995E-2
1.052343750E4,3.520953099E-2
1.054687500E4,3.283048119E-2
1.057031250E4,2.866489170E-2
1.059375000E4,4.127372792E-2
1.061718750E4,3.187760847E-2
1.064062500E4,3.377743885E-2
1.066406250E4,3.133124531E-2
1.068750000E4,3.253144487E-2
1.071093750E4,2.745535472E-2
1.073437500E4,3.700178611E-2
1.075781250E4,2.507093749E-2
1.078125000E4,3.975160763E-2
1.080468750E4,3.009791009E-2
1.082812500E4,3.883955510E-2
1.085156250E4,3.060883839E-2
1.087500000E4,3.210017366E-2
1.089843750E4,3.907226192E-2
1.092187500E4,2.561056760E-2
1.094531250E4,2.716711957E-2
1.096875000E4,2.609583400E-2
1.099218750E4,2.995516274E-2
1.101562500E4,3.142524197E-2
1.103906250E4,2.433432187E-2
1.106250000E4,2.961225302E-2
1.108593750E4,3.134548939E-2
1.110937500E4,3.200693827E-2
1.113281250E4,2.641804202E-2
1.115625000E4,3.154082498E-2
1.117968750E4,3.283068185E-2
1.120312500E4,3.826341461E-2
1.122656250E4,2.847652187E-2
1.125000000E4,2.342193380E-2
1.127343750E4,2.800608662E-2
1.129687500E4,2.581554741E-2
1.132031250E4,3.842863049E-2
1.134375000E4,2.153669748E-2
1.136718750E4,2.823453610E-2
1.139062500E4,2.649255184E-2
1.141406250E4,3.341287593E-2
1.143750000E4,1.847830121E-2
1.146093750E4,3.260328377E-2
1.148437500E4,2.750819320E-2
1.150781250E4,2.952474053E-2
1.153125000E4,3.594662067E-2
1.155468750E4,2.761955618E-2
1.157812500E4,3.154825846E-2
1.160156250E4,2.441357082E-2
1.162500000E4,2.678887543E-2
1.164843750E4,2.853794936E-2
1.167187500E4,2.559310167E-2
1.169531250E4,2.504311490E-2
1.171875000E4,2.879960843E-2
1.174218750E4,2.657072435E-2
1.176562500E4,3.042789793E-2
1.178906250E4,3.173845465E-2
1.181250000E4,3.691168898E-2
1.183593750E4,2.956520295E-2
1.185937500E4,2.880528780E-2
1.188281250E4,3.056154949E-2
1.190625000E4,3.732517096E-2
1.192968750E4,2.726151632E-2
1.195312500E4,2.464178046E-2
1.197656250E4,3.022919378E-2
