"Time (s)","Peak-Frequency"
0.000000000E0,0.000000000E0
3.792740833E-1,9.375000000E1
4.844744166E-1,7.031250000E1
5.566889166E-1,9.375000000E1
6.240134583E-1,9.375000000E1
7.053929583E-1,9.375000000E1
7.480596250E-1,9.375000000E1
7.907262916E-1,9.375000000E1
8.333929583E-1,9.375000000E1
8.760596250E-1,9.375000000E1
9.187262916E-1,9.375000000E1
9.613929583E-1,9.375000000E1
1.004059625E0,9.375000000E1
1.046726292E0,9.375000000E1
1.089392958E0,9.375000000E1
1.132059625E0,9.375000000E1
1.174726292E0,9.375000000E1
1.217392958E0,9.375000000E1
1.260059625E0,9.375000000E1
1.302726292E0,9.375000000E1
1.345392958E0,9.375000000E1
1.388059625E0,9.375000000E1
1.430726292E0,9.375000000E1
1.473392958E0,9.375000000E1
1.516059625E0,9.375000000E1
1.558726292E0,9.375000000E1
1.601392958E0,9.375000000E1
1.644059625E0,9.375000000E1
1.686726292E0,9.375000000E1
1.729392958E0,9.375000000E1
1.772059625E0,9.375000000E1
1.814726292E0,9.375000000E1
1.857392958E0,9.375000000E1
1.900059625E0,9.375000000E1
1.942726292E0,9.375000000E1
1.985392958E0,9.375000000E1
2.028059625E0,9.375000000E1
2.070726292E0,9.375000000E1
2.113392958E0,9.375000000E1
2.156059625E0,9.375000000E1
2.198726292E0,9.375000000E1
2.241392958E0,9.375000000E1
2.284059625E0,9.375000000E1
2.326726292E0,9.375000000E1
2.369392958E0,9.375000000E1
2.412059625E0,9.375000000E1
2.454726292E0,9.375000000E1
2.497392958E0,9.375000000E1
2.540059625E0,9.375000000E1
2.582726292E0,9.375000000E1
2.625392958E0,9.375000000E1
2.668059625E0,9.375000000E1
2.710726292E0,9.375000000E1
2.753392958E0,9.375000000E1
2.796059625E0,9.375000000E1
2.838726292E0,9.375000000E1
2.881392958E0,9.375000000E1
2.924059625E0,9.375000000E1
2.966726292E0,9.375000000E1
3.009392958E0,9.375000000E1
3.052059625E0,9.375000000E1
3.094726292E0,9.375000000E1
3.137392958E0,9.375000000E1
3.180059625E0,9.375000000E1
3.222726292E0,9.375000000E1
3.265392958E0,9.375000000E1
3.308059625E0,9.375000000E1
3.350726292E0,9.375000000E1
3.393392958E0,9.375000000E1
3.436059625E0,9.375000000E1
3.478726292E0,9.375000000E1
3.521392958E0,9.375000000E1
3.564059625E0,9.375000000E1
3.606726292E0,9.375000000E1
3.649392958E0,9.375000000E1
3.692059625E0,9.375000000E1
3.734726292E0,9.375000000E1
3.777392958E0,9.375000000E1
3.820059625E0,9.375000000E1
3.862726292E0,9.375000000E1
3.905392958E0,9.375000000E1
3.948059625E0,9.375000000E1
3.990726292E0,9.375000000E1
4.033392958E0,9.375000000E1
4.076059625E0,9.375000000E1
4.118726292E0,9.375000000E1
4.161392958E0,9.375000000E1
4.204059625E0,9.375000000E1
4.246726292E0,9.375000000E1
4.289392958E0,9.375000000E1
4.332059625E0,9.375000000E1
4.374726292E0,9.375000000E1
4.417392958E0,9.375000000E1
4.460059625E0,9.375000000E1
4.502726292E0,9.375000000E1
4.545392958E0,9.375000000E1
4.588059625E0,9.375000000E1
4.630726292E0,9.375000000E1
4.673392958E0,9.375000000E1
4.716059625E0,9.375000000E1
4.758726292E0,9.375000000E1
4.801392958E0,9.375000000E1
4.844059625E0,9.375000000E1
4.886726292E0,9.375000000E1
4.929392958E0,9.375000000E1
4.972059625E0,9.375000000E1
5.014726292E0,9.375000000E1
5.057392958E0,9.375000000E1
5.100059625E0,9.375000000E1
5.142726292E0,9.375000000E1
5.185392958E0,9.375000000E1
5.228059625E0,9.375000000E1
5.270726292E0,9.375000000E1
5.313392958E0,9.375000000E1
5.356059625E0,9.375000000E1
5.398726292E0,9.375000000E1
5.441392958E0,9.375000000E1
5.484059625E0,9.375000000E1
5.526726292E0,9.375000000E1
5.569392958E0,9.375000000E1
5.612059625E0,9.375000000E1
5.654726292E0,9.375000000E1
5.697392958E0,9.375000000E1
5.740059625E0,9.375000000E1
5.782726292E0,9.375000000E1
5.825392958E0,9.375000000E1
5.868059625E0,9.375000000E1
5.910726292E0,9.375000000E1
5.953392958E0,9.375000000E1
5.996059625E0,9.375000000E1
6.038726292E0,9.375000000E1
6.081392958E0,9.375000000E1
6.124059625E0,9.375000000E1
6.166726292E0,9.375000000E1
6.209392958E0,9.375000000E1
6.252059625E0,9.375000000E1
6.294726292E0,9.375000000E1
6.337392958E0,9.375000000E1
6.380059625E0,9.375000000E1
6.422726292E0,9.375000000E1
6.465392958E0,9.375000000E1
6.508059625E0,9.375000000E1
6.550726292E0,9.375000000E1
6.593392958E0,9.375000000E1
6.636059625E0,9.375000000E1
6.678726292E0,9.375000000E1
6.721392958E0,9.375000000E1
6.764059625E0,9.375000000E1
6.806726292E0,9.375000000E1
6.849392958E0,9.375000000E1
6.892059625E0,9.375000000E1
6.934726292E0,9.375000000E1
6.977392958E0,9.375000000E1
7.020059625E0,9.375000000E1
7.062726292E0,9.375000000E1
7.105392958E0,9.375000000E1
7.148059625E0,9.375000000E1
7.190726292E0,9.375000000E1
7.233392958E0,9.375000000E1
7.276059625E0,9.375000000E1
7.318726292E0,9.375000000E1
7.361392958E0,9.375000000E1
7.404059625E0,9.375000000E1
7.446726292E0,9.375000000E1
7.489392958E0,9.375000000E1
7.532059625E0,9.375000000E1
7.574726292E0,9.375000000E1
7.617392958E0,9.375000000E1
7.660059625E0,9.375000000E1
7.702726292E0,9.375000000E1
7.745392958E0,9.375000000E1
7.788059625E0,9.375000000E1
7.830726292E0,9.375000000E1
7.873392958E0,9.375000000E1
7.916059625E0,9.375000000E1
7.958726292E0,9.375000000E1
8.001392958E0,9.375000000E1
8.044059625E0,9.375000000E1
8.086726292E0,9.375000000E1
8.129392958E0,9.375000000E1
8.172059625E0,9.375000000E1
8.214726292E0,9.375000000E1
8.257392958E0,9.375000000E1
8.300059625E0,9.375000000E1
8.342726292E0,9.375000000E1
8.385392958E0,9.375000000E1
8.428059625E0,9.375000000E1
8.470726292E0,9.375000000E1
8.513392958E0,9.375000000E1
8.556059625E0,9.375000000E1
8.598726292E0,9.375000000E1
8.641392958E0,9.375000000E1
8.684059625E0,9.375000000E1
8.726726292E0,9.375000000E1
8.769392958E0,9.375000000E1
8.812059625E0,9.375000000E1
8.854726292E0,9.375000000E1
8.897392958E0,9.375000000E1
8.940059625E0,9.375000000E1
8.982726292E0,9.375000000E1
9.025392958E0,9.375000000E1
9.068059625E0,9.375000000E1
9.110726292E0,9.375000000E1
9.153392958E0,9.375000000E1
9.196059625E0,9.375000000E1
9.238726292E0,9.375000000E1
9.281392958E0,9.375000000E1
9.324059625E0,9.375000000E1
9.366726292E0,9.375000000E1
9.409392958E0,9.375000000E1
9.452059625E0,9.375000000E1
9.494726292E0,9.375000000E1
9.537392958E0,9.375000000E1
9.580059625E0,9.375000000E1
9.622726292E0,9.375000000E1
9.665392958E0,9.375000000E1
9.708059625E0,9.375000000E1
9.750726292E0,9.375000000E1
9.793392958E0,9.375000000E1
9.836059625E0,9.375000000E1
9.878726292E0,9.375000000E1
9.921392958E0,9.375000000E1
9.964059625E0,9.375000000E1
1.000672629E1,9.375000000E1
1.004939296E1,9.375000000E1
1.009205962E1,9.375000000E1
1.013472629E1,9.375000000E1
1.017739296E1,9.375000000E1
1.022005962E1,9.375000000E1
1.026272629E1,9.375000000E1
1.030539296E1,9.375000000E1
1.034805962E1,9.375000000E1
1.039072629E1,9.375000000E1
1.043339296E1,9.375000000E1
1.047605962E1,9.375000000E1
1.051872629E1,9.375000000E1
1.056139296E1,9.375000000E1
1.060405962E1,9.375000000E1
1.064672629E1,9.375000000E1
1.068939296E1,9.375000000E1
1.073205962E1,9.375000000E1
1.077472629E1,9.375000000E1
1.081739296E1,9.375000000E1
1.086005962E1,9.375000000E1
1.090272629E1,9.375000000E1
1.094539296E1,9.375000000E1
1.098805962E1,9.375000000E1
1.103072629E1,9.375000000E1
1.107339296E1,9.375000000E1
1.111605962E1,9.375000000E1
1.115872629E1,9.375000000E1
1.120139296E1,9.375000000E1
1.124405962E1,9.375000000E1
1.128672629E1,9.375000000E1
1.132939296E1,9.375000000E1
1.137205962E1,9.375000000E1
1.141472629E1,9.375000000E1
1.145739296E1,9.375000000E1
1.150005962E1,9.375000000E1
1.154272629E1,9.375000000E1
1.158539296E1,9.375000000E1
1.162805962E1,9.375000000E1
1.167072629E1,9.375000000E1
1.171339296E1,9.375000000E1
1.175605962E1,9.375000000E1
1.179872629E1,9.375000000E1
1.184139296E1,9.375000000E1
1.188405962E1,9.375000000E1
1.192672629E1,9.375000000E1
1.196939296E1,9.375000000E1
1.201205962E1,9.375000000E1
1.205472629E1,9.375000000E1
1.209739296E1,9.375000000E1
1.214005962E1,9.375000000E1
1.218272629E1,9.375000000E1
1.222539296E1,9.375000000E1
1.226805962E1,9.375000000E1
1.231072629E1,9.375000000E1
1.235339296E1,9.375000000E1
1.239605962E1,9.375000000E1
1.243872629E1,9.375000000E1
1.248139296E1,9.375000000E1
1.252405962E1,9.375000000E1
1.256672629E1,9.375000000E1
1.260939296E1,9.375000000E1
1.265205962E1,9.375000000E1
1.269472629E1,9.375000000E1
1.273739296E1,9.375000000E1
1.278005962E1,9.375000000E1
1.282272629E1,9.375000000E1
1.286539296E1,9.375000000E1
1.290805962E1,9.375000000E1
1.295072629E1,9.375000000E1
1.299339296E1,9.375000000E1
1.303605962E1,9.375000000E1
1.307872629E1,9.375000000E1
1.312139296E1,9.375000000E1
1.316405962E1,9.375000000E1
1.320672629E1,9.375000000E1
1.324939296E1,9.375000000E1
1.329205962E1,9.375000000E1
1.333472629E1,9.375000000E1
1.337739296E1,9.375000000E1
1.342005962E1,9.375000000E1
1.346272629E1,9.375000000E1
1.350539296E1,9.375000000E1
1.354805962E1,9.375000000E1
1.359072629E1,9.375000000E1
1.363339296E1,9.375000000E1
1.367605962E1,9.375000000E1
1.371872629E1,9.375000000E1
1.376139296E1,9.375000000E1
1.380405962E1,9.375000000E1
1.384672629E1,9.375000000E1
1.388939296E1,9.375000000E1
1.393205962E1,9.375000000E1
1.397472629E1,9.375000000E1
1.401739296E1,9.375000000E1
1.406005962E1,9.375000000E1
1.410272629E1,9.375000000E1
1.414539296E1,9.375000000E1
1.418805962E1,9.375000000E1
1.423072629E1,9.375000000E1
1.427339296E1,9.375000000E1
1.431605962E1,9.375000000E1
1.435872629E1,9.375000000E1
1.440139296E1,9.375000000E1
1.444405962E1,9.375000000E1
1.448672629E1,9.375000000E1
1.452939296E1,9.375000000E1
1.457205962E1,9.375000000E1
1.461472629E1,9.375000000E1
1.465739296E1,9.375000000E1
1.470005962E1,9.375000000E1
1.474272629E1,9.375000000E1
1.478539296E1,9.375000000E1
1.482805962E1,9.375000000E1
1.487072629E1,9.375000000E1
1.491339296E1,9.375000000E1
1.495605962E1,9.375000000E1
1.499872629E1,9.375000000E1
1.504139296E1,9.375000000E1
1.508405962E1,9.375000000E1
1.512672629E1,9.375000000E1
1.516939296E1,9.375000000E1
1.521205962E1,9.375000000E1
1.525472629E1,9.375000000E1
1.529739296E1,9.375000000E1
1.534005962E1,9.375000000E1
1.538272629E1,9.375000000E1
1.542539296E1,9.375000000E1
1.546805962E1,9.375000000E1
1.551072629E1,9.375000000E1
1.555339296E1,9.375000000E1
1.559605962E1,9.375000000E1
1.563872629E1,9.375000000E1
1.568139296E1,9.375000000E1
1.572405962E1,9.375000000E1
1.576672629E1,9.375000000E1
1.580939296E1,9.375000000E1
1.585205962E1,9.375000000E1
1.589472629E1,9.375000000E1
1.593739296E1,9.375000000E1
1.598005962E1,9.375000000E1
1.602272629E1,9.375000000E1
1.606539296E1,9.375000000E1
1.610805962E1,9.375000000E1
1.615072629E1,9.375000000E1
1.619339296E1,9.375000000E1
1.623605962E1,9.375000000E1
1.627872629E1,9.375000000E1
1.632139296E1,9.375000000E1
1.636405962E1,9.375000000E1
1.640672629E1,9.375000000E1
1.644939296E1,9.375000000E1
1.649205962E1,9.375000000E1
1.653472629E1,9.375000000E1
1.657739296E1,9.375000000E1
1.662005962E1,9.375000000E1
1.666272629E1,9.375000000E1
1.670539296E1,9.375000000E1
1.674805962E1,9.375000000E1
1.679072629E1,9.375000000E1
1.683339296E1,9.375000000E1
1.687605962E1,9.375000000E1
1.691872629E1,9.375000000E1
1.696139296E1,9.375000000E1
1.700405962E1,9.375000000E1
1.704672629E1,9.375000000E1
1.708939296E1,9.375000000E1
1.713205962E1,9.375000000E1
1.717472629E1,9.375000000E1
1.721739296E1,9.375000000E1
1.726005962E1,9.375000000E1
1.730272629E1,9.375000000E1
1.734539296E1,9.375000000E1
1.738805962E1,9.375000000E1
1.743072629E1,9.375000000E1
1.747339296E1,9.375000000E1
1.751605962E1,9.375000000E1
1.755872629E1,9.375000000E1
1.760139296E1,9.375000000E1
1.764405962E1,9.375000000E1
1.768672629E1,9.375000000E1
1.772939296E1,9.375000000E1
1.777205962E1,9.375000000E1
1.781472629E1,9.375000000E1
1.785739296E1,9.375000000E1
1.790005962E1,9.375000000E1
1.794272629E1,9.375000000E1
1.798539296E1,9.375000000E1
1.802805962E1,9.375000000E1
1.807072629E1,9.375000000E1
1.811339296E1,9.375000000E1
1.815605962E1,9.375000000E1
1.819872629E1,9.375000000E1
1.824139296E1,9.375000000E1
1.828405962E1,9.375000000E1
1.832672629E1,9.375000000E1
1.836939296E1,9.375000000E1
1.841205962E1,9.375000000E1
1.845472629E1,9.375000000E1
1.849739296E1,9.375000000E1
1.854005962E1,9.375000000E1
1.858272629E1,9.375000000E1
1.862539296E1,9.375000000E1
1.866805962E1,9.375000000E1
1.871072629E1,9.375000000E1
1.875339296E1,9.375000000E1
1.879605962E1,9.375000000E1
1.883872629E1,9.375000000E1
1.888139296E1,9.375000000E1
1.892405962E1,9.375000000E1
1.896672629E1,9.375000000E1
1.900939296E1,9.375000000E1
1.905205962E1,9.375000000E1
1.909472629E1,9.375000000E1
1.913739296E1,9.375000000E1
1.918005962E1,9.375000000E1
1.922272629E1,9.375000000E1
1.926539296E1,9.375000000E1
1.930805962E1,9.375000000E1
1.935072629E1,9.375000000E1
1.939339296E1,9.375000000E1
1.943605962E1,9.375000000E1
1.947872629E1,9.375000000E1
1.952139296E1,9.375000000E1
1.956405962E1,9.375000000E1
1.960672629E1,9.375000000E1
1.964939296E1,9.375000000E1
1.969205962E1,9.375000000E1
1.973472629E1,9.375000000E1
1.977739296E1,9.375000000E1
1.982005962E1,9.375000000E1
1.986272629E1,9.375000000E1
1.990539296E1,9.375000000E1
1.994805962E1,9.375000000E1
1.999072629E1,9.375000000E1
2.003339296E1,9.375000000E1
2.007605962E1,9.375000000E1
2.011872629E1,9.375000000E1
2.016139296E1,9.375000000E1
2.020405962E1,9.375000000E1
2.024672629E1,9.375000000E1
2.028939296E1,9.375000000E1
2.033205962E1,9.375000000E1
2.037472629E1,9.375000000E1
2.041739296E1,9.375000000E1
2.046005962E1,9.375000000E1
2.050272629E1,9.375000000E1
2.054539296E1,9.375000000E1
2.058805962E1,9.375000000E1
2.063072629E1,9.375000000E1
2.067339296E1,9.375000000E1
2.071605962E1,9.375000000E1
2.075872629E1,9.375000000E1
2.080139296E1,9.375000000E1
2.084405962E1,9.375000000E1
2.088672629E1,9.375000000E1
2.092939296E1,9.375000000E1
2.097205962E1,9.375000000E1
2.101472629E1,9.375000000E1
2.105739296E1,9.375000000E1
2.110005962E1,9.375000000E1
2.114272629E1,9.375000000E1
2.118539296E1,9.375000000E1
2.122805962E1,9.375000000E1
2.127072629E1,9.375000000E1
2.131339296E1,9.375000000E1
2.135605962E1,9.375000000E1
2.139872629E1,9.375000000E1
2.144139296E1,9.375000000E1
2.148405962E1,9.375000000E1
2.152672629E1,9.375000000E1
2.156939296E1,9.375000000E1
2.161205962E1,9.375000000E1
2.165472629E1,9.375000000E1
2.169739296E1,9.375000000E1
2.174005962E1,9.375000000E1
2.178272629E1,9.375000000E1
2.182539296E1,9.375000000E1
2.186805962E1,9.375000000E1
2.191072629E1,9.375000000E1
2.195339296E1,9.375000000E1
2.199605962E1,9.375000000E1
2.203872629E1,9.375000000E1
2.208139296E1,9.375000000E1
2.212405962E1,9.375000000E1
2.216672629E1,9.375000000E1
2.220939296E1,9.375000000E1
2.225205962E1,9.375000000E1
2.229472629E1,9.375000000E1
2.233739296E1,9.375000000E1
2.238005962E1,9.375000000E1
2.242272629E1,9.375000000E1
2.246539296E1,9.375000000E1
2.250805962E1,9.375000000E1
2.255072629E1,9.375000000E1
2.259339296E1,9.375000000E1
2.263605962E1,9.375000000E1
2.267872629E1,9.375000000E1
2.272139296E1,9.375000000E1
2.276405962E1,9.375000000E1
2.280672629E1,9.375000000E1
2.284939296E1,9.375000000E1
2.289205962E1,9.375000000E1
2.293472629E1,9.375000000E1
2.297739296E1,9.375000000E1
2.302005962E1,9.375000000E1
2.306272629E1,9.375000000E1
2.310539296E1,9.375000000E1
2.314805962E1,9.375000000E1
2.319072629E1,9.375000000E1
2.323339296E1,9.375000000E1
2.327605962E1,9.375000000E1
2.331872629E1,9.375000000E1
2.336139296E1,9.375000000E1
2.340405962E1,9.375000000E1
2.344672629E1,9.375000000E1
2.348939296E1,9.375000000E1
2.353205962E1,9.375000000E1
2.357472629E1,9.375000000E1
2.361739296E1,9.375000000E1
2.366005962E1,9.375000000E1
2.370272629E1,9.375000000E1
2.374539296E1,9.375000000E1
2.378805962E1,9.375000000E1
2.383072629E1,9.375000000E1
2.387339296E1,9.375000000E1
2.391605962E1,9.375000000E1
2.395872629E1,9.375000000E1
2.400139296E1,9.375000000E1
2.404405962E1,9.375000000E1
2.408672629E1,9.375000000E1
2.412939296E1,9.375000000E1
2.417205962E1,9.375000000E1
2.421472629E1,9.375000000E1
2.425739296E1,9.375000000E1
2.430005962E1,9.375000000E1
2.434272629E1,9.375000000E1
2.438539296E1,9.375000000E1
2.442805962E1,9.375000000E1
2.447072629E1,9.375000000E1
2.451339296E1,9.375000000E1
2.455605962E1,9.375000000E1
2.459872629E1,9.375000000E1
2.464139296E1,9.375000000E1
2.468405962E1,9.375000000E1
2.472672629E1,9.375000000E1
2.476939296E1,9.375000000E1
2.481205962E1,9.375000000E1
2.485472629E1,9.375000000E1
2.489739296E1,9.375000000E1
2.494005962E1,9.375000000E1
2.498272629E1,9.375000000E1
2.502539296E1,9.375000000E1
2.506805962E1,9.375000000E1
2.511072629E1,9.375000000E1
2.515339296E1,9.375000000E1
2.519605962E1,9.375000000E1
2.523872629E1,9.375000000E1
2.528139296E1,9.375000000E1
2.532405962E1,9.375000000E1
2.536672629E1,9.375000000E1
2.540939296E1,9.375000000E1
2.545205962E1,9.375000000E1
2.549472629E1,9.375000000E1
2.553739296E1,9.375000000E1
2.558005962E1,9.375000000E1
2.562272629E1,9.375000000E1
2.566539296E1,9.375000000E1
2.570805962E1,9.375000000E1
2.575072629E1,9.375000000E1
2.579339296E1,9.375000000E1
2.583605962E1,9.375000000E1
2.587872629E1,9.375000000E1
2.592139296E1,9.375000000E1
2.596405962E1,9.375000000E1
2.600672629E1,9.375000000E1
2.604939296E1,9.375000000E1
2.609205962E1,9.375000000E1
2.613472629E1,9.375000000E1
2.617739296E1,9.375000000E1
2.622005962E1,9.375000000E1
2.626272629E1,9.375000000E1
2.630539296E1,9.375000000E1
2.634805962E1,9.375000000E1
2.639072629E1,9.375000000E1
2.643339296E1,9.375000000E1
2.647605962E1,9.375000000E1
2.651872629E1,9.375000000E1
2.656139296E1,9.375000000E1
2.660405962E1,9.375000000E1
2.664672629E1,9.375000000E1
2.668939296E1,9.375000000E1
2.673205962E1,9.375000000E1
2.677472629E1,9.375000000E1
2.681739296E1,9.375000000E1
2.686005962E1,9.375000000E1
2.690272629E1,9.375000000E1
2.694539296E1,9.375000000E1
2.698805962E1,9.375000000E1
2.703072629E1,9.375000000E1
2.707339296E1,9.375000000E1
2.711605962E1,9.375000000E1
2.715872629E1,9.375000000E1
2.720139296E1,9.375000000E1
2.724405962E1,9.375000000E1
2.728672629E1,9.375000000E1
2.732939296E1,9.375000000E1
2.737205962E1,9.375000000E1
2.741472629E1,9.375000000E1
2.745739296E1,9.375000000E1
2.750005962E1,9.375000000E1
2.754272629E1,9.375000000E1
2.758539296E1,9.375000000E1
2.762805962E1,9.375000000E1
2.767072629E1,9.375000000E1
2.771339296E1,9.375000000E1
2.775605962E1,9.375000000E1
2.779872629E1,9.375000000E1
2.784139296E1,9.375000000E1
2.788405962E1,9.375000000E1
2.792672629E1,9.375000000E1
2.796939296E1,9.375000000E1
2.801205962E1,9.375000000E1
2.805472629E1,9.375000000E1
2.809739296E1,9.375000000E1
2.814005962E1,9.375000000E1
2.818272629E1,9.375000000E1
2.822539296E1,9.375000000E1
2.826805962E1,9.375000000E1
2.831072629E1,9.375000000E1
2.835339296E1,9.375000000E1
2.839605962E1,9.375000000E1
2.843872629E1,9.375000000E1
2.848139296E1,9.375000000E1
2.852405962E1,9.375000000E1
2.856672629E1,9.375000000E1
2.860939296E1,9.375000000E1
2.865205962E1,9.375000000E1
2.869472629E1,9.375000000E1
2.873739296E1,9.375000000E1
2.878005962E1,9.375000000E1
2.882272629E1,9.375000000E1
